,time,lat,lon,Temperature,Variable,SSP
3,2040-04-01 12:00:00,22.0,91.0,0.0,Anomaly of tr tropical nights relative to 1995-2014,SSP585
3,2040-04-01 12:00:00,22.0,91.0,14.5,Hi35 heat index 35 degc and higher,SSP245
3,2040-04-01 12:00:00,22.0,91.0,19.049999237060497,Hi35 heat index 35 degc and higher,SSP585
3,2040-04-01 12:00:00,22.0,91.0,1.0700000524520874,Anomaly of daily maximum near-surface air temperature relative to 1995-2014,SSP245
4,2040-05-01 12:00:00,22.0,91.0,30.219999313354492,Near-surface air temperature,SSP585
4,2040-05-01 12:00:00,22.0,91.0,0.7799999713897705,Anomaly of daily maximum near-surface air temperature relative to 1995-2014,SSP245
4,2040-05-01 12:00:00,22.0,91.0,1.3899999856948853,Anomaly of near-surface air temperature relative to 1995-2014,SSP585
4,2040-05-01 12:00:00,22.0,91.0,32.27000045776367,Daily maximum near-surface air temperature,SSP245
4,2040-05-01 12:00:00,22.0,91.0,31.0,Tr tropical nights,SSP245
4,2040-05-01 12:00:00,22.0,91.0,0.0,Anomaly of tr tropical nights relative to 1995-2014,SSP245
4,2040-05-01 12:00:00,22.0,91.0,0.949999988079071,Anomaly of near-surface air temperature relative to 1995-2014,SSP245
4,2040-05-01 12:00:00,22.0,91.0,30.549999237060497,Hi35 heat index 35 degc and higher,SSP245
4,2040-05-01 12:00:00,22.0,91.0,0.0,Anomaly of tr tropical nights relative to 1995-2014,SSP585
4,2040-05-01 12:00:00,22.0,91.0,30.700000762939492,Hi35 heat index 35 degc and higher,SSP585
4,2040-05-01 12:00:00,22.0,91.0,1.2999999523162842,Anomaly of daily maximum near-surface air temperature relative to 1995-2014,SSP585
4,2040-05-01 12:00:00,22.0,91.0,29.780000686645508,Near-surface air temperature,SSP245
4,2040-05-01 12:00:00,22.0,91.0,31.0,Tr tropical nights,SSP585
4,2040-05-01 12:00:00,22.0,91.0,32.790000915527344,Daily maximum near-surface air temperature,SSP585
5,2040-06-01 12:00:00,22.0,91.0,30.3799991607666,Near-surface air temperature,SSP585
5,2040-06-01 12:00:00,22.0,91.0,32.29999923706055,Daily maximum near-surface air temperature,SSP585
5,2040-06-01 12:00:00,22.0,91.0,1.1100000143051147,Anomaly of near-surface air temperature relative to 1995-2014,SSP585
5,2040-06-01 12:00:00,22.0,91.0,0.800000011920929,Anomaly of daily maximum near-surface air temperature relative to 1995-2014,SSP585
5,2040-06-01 12:00:00,22.0,91.0,30.0,Hi35 heat index 35 degc and higher,SSP585
5,2040-06-01 12:00:00,22.0,91.0,0.0,Anomaly of tr tropical nights relative to 1995-2014,SSP585
5,2040-06-01 12:00:00,22.0,91.0,30.0,Tr tropical nights,SSP245
5,2040-06-01 12:00:00,22.0,91.0,0.0,Anomaly of tr tropical nights relative to 1995-2014,SSP245
5,2040-06-01 12:00:00,22.0,91.0,0.6299999952316284,Anomaly of daily maximum near-surface air temperature relative to 1995-2014,SSP245
5,2040-06-01 12:00:00,22.0,91.0,0.7599999904632568,Anomaly of near-surface air temperature relative to 1995-2014,SSP245
5,2040-06-01 12:00:00,22.0,91.0,30.030000686645508,Near-surface air temperature,SSP245
5,2040-06-01 12:00:00,22.0,91.0,30.0,Hi35 heat index 35 degc and higher,SSP245
5,2040-06-01 12:00:00,22.0,91.0,32.130001068115234,Daily maximum near-surface air temperature,SSP245
5,2040-06-01 12:00:00,22.0,91.0,30.0,Tr tropical nights,SSP585
6,2040-07-01 12:00:00,22.0,91.0,1.1399999856948853,Anomaly of near-surface air temperature relative to 1995-2014,SSP585
6,2040-07-01 12:00:00,22.0,91.0,29.06999969482422,Near-surface air temperature,SSP245
6,2040-07-01 12:00:00,22.0,91.0,0.0,Anomaly of tr tropical nights relative to 1995-2014,SSP585
6,2040-07-01 12:00:00,22.0,91.0,0.800000011920929,Anomaly of near-surface air temperature relative to 1995-2014,SSP245
6,2040-07-01 12:00:00,22.0,91.0,1.1100000143051147,Anomaly of daily maximum near-surface air temperature relative to 1995-2014,SSP245
6,2040-07-01 12:00:00,22.0,91.0,29.40999984741211,Near-surface air temperature,SSP585
6,2040-07-01 12:00:00,22.0,91.0,31.18000030517578,Daily maximum near-surface air temperature,SSP245
6,2040-07-01 12:00:00,22.0,91.0,31.3799991607666,Daily maximum near-surface air temperature,SSP585
6,2040-07-01 12:00:00,22.0,91.0,0.0,Anomaly of tr tropical nights relative to 1995-2014,SSP245
6,2040-07-01 12:00:00,22.0,91.0,31.0,Hi35 heat index 35 degc and higher,SSP585
6,2040-07-01 12:00:00,22.0,91.0,1.309999942779541,Anomaly of daily maximum near-surface air temperature relative to 1995-2014,SSP585
6,2040-07-01 12:00:00,22.0,91.0,31.0,Tr tropical nights,SSP245
6,2040-07-01 12:00:00,22.0,91.0,31.0,Tr tropical nights,SSP585
6,2040-07-01 12:00:00,22.0,91.0,31.0,Hi35 heat index 35 degc and higher,SSP245
7,2040-08-01 12:00:00,22.0,91.0,0.0,Anomaly of tr tropical nights relative to 1995-2014,SSP585
7,2040-08-01 12:00:00,22.0,91.0,31.0,Tr tropical nights,SSP585
