,flood_file_name,Year,SSP,Return period,Road length flooded more than 15cm,Percentage of road flooded more than 15cm,Road length flooded more than 50cm,Percentage of road flooded more than 50cm,Road length flooded more than 85cm,Percentage of road flooded more than 85cm,Road length flooded more than 120cm,Percentage of road flooded more than 120cm,Road length flooded more than 155cm,Percentage of road flooded more than 155cm,Road length flooded more than 190cm,Percentage of road flooded more than 190cm,Road length flooded more than 225cm,Percentage of road flooded more than 225cm,Road length flooded more than 260cm,Percentage of road flooded more than 260cm,Road length flooded more than 295cm,Percentage of road flooded more than 295cm,Road length flooded more than 330cm,Percentage of road flooded more than 330cm,Road length flooded more than 365cm,Percentage of road flooded more than 365cm
12, flood_file_name floods_mosaiced_max_cropped_popdynamics_Chittagong_SSP1_2030_1in200_,2030,SSP1,200,766530,46.032861312290564,489180,29.377004287824736,381150,22.889417360285375,325620,19.554642741325264,289080,17.360285374554103,244530,14.684898929845422,178950,10.746585954671566,115410,6.930782257773934,63120,3.7905811984289985,23040,1.3836342017079235,2430,0.14593016971138256
13, flood_file_name floods_mosaiced_max_cropped_popdynamics_Chittagong_SSP1_2030_1in5_,2030,SSP1,5,65250,3.918495297805643,16980,1.019709580946204,5340,0.3206860519583468,1080,0.06485785320505892,120,0.0072064281338954355,30,0.0018016070334738589,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
14, flood_file_name floods_mosaiced_max_cropped_popdynamics_Chittagong_SSP1_2030_1in50_,2030,SSP1,50,470460,28.252801498937053,284610,17.0918459265665,222900,13.385940258710772,155130,9.316109970093324,90540,5.437250027024105,49710,2.985262854466184,9960,0.5981335351133211,1080,0.06485785320505892,120,0.0072064281338954355,60,0.0036032140669477178,30,0.0018016070334738589
15, flood_file_name floods_mosaiced_max_cropped_popdynamics_Chittagong_SSP1_2030_1in500_,2030,SSP1,500,928470,55.75793607898245,715920,42.99355024682016,591960,35.54930998450618,491820,29.53554570677044,402750,24.186574424386553,339150,20.367167513421972,299010,17.956617302633948,260610,15.650560299787411,203700,12.2329117572875,143910,8.6423089395741,74910,4.498612762584226
16, flood_file_name floods_mosaiced_max_cropped_popdynamics_Chittagong_SSP2_2030_1in10_,2030,SSP2,10,126780,7.613591323460526,63720,3.826613339098476,17550,1.0539401145822074,5820,0.34951176449392857,1260,0.07566749540590206,120,0.0072064281338954355,30,0.0018016070334738589,0,0.0,0,0.0,0,0.0,0,0.0
17, flood_file_name floods_mosaiced_max_cropped_popdynamics_Chittagong_SSP2_2030_1in100_,2030,SSP2,100,590010,35.43220552733038,355680,21.359852988866066,306330,18.396209418801572,263340,15.81450653983353,203790,12.238316578387922,140070,8.411703239289446,77970,4.6823766799985584,39180,2.3528987857168593,4530,0.2720426620545527,420,0.025222498468634023,60,0.0036032140669477178
18, flood_file_name floods_mosaiced_max_cropped_popdynamics_Chittagong_SSP2_2030_1in1000_,2030,SSP2,1000,1092840,65.62894101538572,881490,52.93661946456238,751440,45.126652974453215,637530,38.28595106835297,539670,32.40910892516125,454380,27.287140128995063,382200,22.952473606456962,329550,19.790653262710336,293370,17.617915180340866,255210,15.326271033762115,194580,11.685223219111448
19, flood_file_name floods_mosaiced_max_cropped_popdynamics_Chittagong_SSP2_2030_1in20_,2030,SSP2,20,272370,16.35679025690916,128400,7.710878103268115,76080,4.568875436889706,34650,2.080856123662307,6360,0.381940691096458,1230,0.0738658883724282,150,0.009008035167369293,60,0.0036032140669477178,0,0.0,0,0.0,0,0.0
20, flood_file_name floods_mosaiced_max_cropped_popdynamics_Chittagong_SSP2_2030_1in200_,2030,SSP2,200,769860,46.23283969300616,489810,29.41483803552769,381150,22.889417360285375,325710,19.560047562425684,289080,17.360285374554103,244530,14.684898929845422,178980,10.74838756170504,115410,6.930782257773934,63120,3.7905811984289985,23040,1.3836342017079235,2430,0.14593016971138256
21, flood_file_name floods_mosaiced_max_cropped_popdynamics_Chittagong_SSP2_2030_1in5_,2030,SSP2,5,65610,3.940114582207329,17100,1.0269160090800995,5370,0.3224876589918207,1080,0.06485785320505892,120,0.0072064281338954355,30,0.0018016070334738589,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
22, flood_file_name floods_mosaiced_max_cropped_popdynamics_Chittagong_SSP2_2030_1in50_,2030,SSP2,50,471420,28.310452924008217,284760,17.10085396173387,223140,13.40035311497856,155340,9.32872121932764,90630,5.442654848124527,49740,2.9870644614996578,9960,0.5981335351133211,1080,0.06485785320505892,150,0.009008035167369293,60,0.0036032140669477178,30,0.0018016070334738589
23, flood_file_name floods_mosaiced_max_cropped_popdynamics_Chittagong_SSP2_2030_1in500_,2030,SSP2,500,929940,55.846214823622674,718290,43.1358772024646,592410,35.57633409000829,492450,29.573379454473393,402750,24.186574424386553,339150,20.367167513421972,299010,17.956617302633948,260610,15.650560299787411,203700,12.2329117572875,143910,8.6423089395741,74910,4.498612762584226
24, flood_file_name floods_mosaiced_max_cropped_popdynamics_Chittagong_SSP3_2030_1in10_,2030,SSP3,10,126870,7.618996144560948,63720,3.826613339098476,17550,1.0539401145822074,5820,0.34951176449392857,1260,0.07566749540590206,120,0.0072064281338954355,30,0.0018016070334738589,0,0.0,0,0.0,0,0.0,0,0.0
