,time,lat,lon,Precipitation,Variable,SSP
3,2040-04-01 12:00:00,22.0,91.0,70.44999694824219,Maximum of 5-day cumulative precipitation,SSP585
3,2040-04-01 12:00:00,22.0,91.0,30.40999984741211,Precipitation,SSP585
3,2040-04-01 12:00:00,22.0,91.0,0.1000000014900926,R20mm heavy precipitation days,SSP245
3,2040-04-01 12:00:00,22.0,91.0,-0.050000000745092595,Anomaly of r20mm heavy precipitation days relative to 1995-2014,SSP585
3,2040-04-01 12:00:00,22.0,91.0,78.05000305175781,Maximum of 5-day cumulative precipitation,SSP245
3,2040-04-01 12:00:00,22.0,91.0,2.630000114440918,Anomaly of precipitation relative to 1995-2014,SSP245
3,2040-04-01 12:00:00,22.0,91.0,0.0,R50mm very heavy precipitation days,SSP585
3,2040-04-01 12:00:00,22.0,91.0,0.0,Anomaly of r50mm very heavy precipitation days relative to 1995-2014,SSP245
3,2040-04-01 12:00:00,22.0,91.0,-0.7300000190734863,Anomaly of precipitation relative to 1995-2014,SSP585
3,2040-04-01 12:00:00,22.0,91.0,3.799999952316284,Anomaly of maximum of 5-day cumulative precipitation relative to 1995-2014,SSP585
3,2040-04-01 12:00:00,22.0,91.0,33.77000045776367,Precipitation,SSP245
3,2040-04-01 12:00:00,22.0,91.0,0.0,Anomaly of r50mm very heavy precipitation days relative to 1995-2014,SSP585
3,2040-04-01 12:00:00,22.0,91.0,11.399999618530273,Anomaly of maximum of 5-day cumulative precipitation relative to 1995-2014,SSP245
3,2040-04-01 12:00:00,22.0,91.0,0.050000000745092595,R20mm heavy precipitation days,SSP585
4,2040-05-01 12:00:00,22.0,91.0,0.0,Anomaly of r50mm very heavy precipitation days relative to 1995-2014,SSP585
4,2040-05-01 12:00:00,22.0,91.0,0.9900000095367432,Anomaly of maximum of 5-day cumulative precipitation relative to 1995-2014,SSP585
4,2040-05-01 12:00:00,22.0,91.0,5.769999980926514,Anomaly of precipitation relative to 1995-2014,SSP585
4,2040-05-01 12:00:00,22.0,91.0,0.050000000745092595,Anomaly of r20mm heavy precipitation days relative to 1995-2014,SSP585
4,2040-05-01 12:00:00,22.0,91.0,76.66999816894531,Precipitation,SSP585
4,2040-05-01 12:00:00,22.0,91.0,0.1000000014900926,R50mm very heavy precipitation days,SSP245
4,2040-05-01 12:00:00,22.0,91.0,0.5500000119208912,R20mm heavy precipitation days,SSP585
4,2040-05-01 12:00:00,22.0,91.0,0.050000000745092595,R50mm very heavy precipitation days,SSP585
4,2040-05-01 12:00:00,22.0,91.0,178.61000061035156,Maximum of 5-day cumulative precipitation,SSP245
4,2040-05-01 12:00:00,22.0,91.0,77.08000183105469,Precipitation,SSP245
4,2040-05-01 12:00:00,22.0,91.0,0.050000000745092595,Anomaly of r50mm very heavy precipitation days relative to 1995-2014,SSP245
4,2040-05-01 12:00:00,22.0,91.0,11.470000267028809,Anomaly of maximum of 5-day cumulative precipitation relative to 1995-2014,SSP245
4,2040-05-01 12:00:00,22.0,91.0,168.1300048828125,Maximum of 5-day cumulative precipitation,SSP585
4,2040-05-01 12:00:00,22.0,91.0,6.179999828338623,Anomaly of precipitation relative to 1995-2014,SSP245
4,2040-05-01 12:00:00,22.0,91.0,0.050000000745092595,Anomaly of r20mm heavy precipitation days relative to 1995-2014,SSP245
4,2040-05-01 12:00:00,22.0,91.0,0.5500000119208912,R20mm heavy precipitation days,SSP245
5,2040-06-01 12:00:00,22.0,91.0,0.46000000834465027,Anomaly of precipitation relative to 1995-2014,SSP585
5,2040-06-01 12:00:00,22.0,91.0,231.97000122070312,Precipitation,SSP245
5,2040-06-01 12:00:00,22.0,91.0,-0.1000000014900926,Anomaly of r20mm heavy precipitation days relative to 1995-2014,SSP585
5,2040-06-01 12:00:00,22.0,91.0,2.7000000476836923,R20mm heavy precipitation days,SSP585
5,2040-06-01 12:00:00,22.0,91.0,-46.4900016784668,Anomaly of maximum of 5-day cumulative precipitation relative to 1995-2014,SSP245
5,2040-06-01 12:00:00,22.0,91.0,0.050000000745092595,Anomaly of r50mm very heavy precipitation days relative to 1995-2014,SSP585
5,2040-06-01 12:00:00,22.0,91.0,256.489990234375,Maximum of 5-day cumulative precipitation,SSP245
5,2040-06-01 12:00:00,22.0,91.0,-0.050000000745092595,Anomaly of r20mm heavy precipitation days relative to 1995-2014,SSP245
5,2040-06-01 12:00:00,22.0,91.0,304.6300048828125,Maximum of 5-day cumulative precipitation,SSP585
