element_type,osmid,nodes,landuse,name,geometry,office,industrial,ward5wknn,index,points,rank,value
way,653087504,"[6120989984, 6120989983, 6120989982, 6120989981, 6120989980, 6120989979, 6120989978, 6120989977, 6120989976, 6120989975, 6120989974, 6120989973, 6120989972, 6120989971, 6120989970, 6120989969, 6120989968, 6120989967, 6120989966, 6120989984]",industrial,,"POLYGON ((91.7999715 22.4418171, 91.7999768 22.4420675, 91.7999934 22.4425475, 91.7999972 22.4425878, 91.8000389 22.4426001, 91.8000731 22.4426299, 91.8001091 22.442679, 91.8001395 22.4427193, 91.8003614 22.442721, 91.8007065 22.4426719, 91.8007252 22.4426241, 91.8007386 22.4425807, 91.8007609 22.4419932, 91.8007518 22.4418723, 91.800727 22.4418285, 91.8006797 22.4418098, 91.8005285 22.4417827, 91.8001045 22.4417702, 91.8000166 22.4417785, 91.7999715 22.4418171))",,brickyard,0,0,north,2,5.0
way,653118197,"[6121189856, 6121189855, 6121189854, 6121189853, 6121189852, 6121189851, 6121189850, 6121189856]",industrial,,"POLYGON ((91.8854669 22.4195185, 91.885837 22.4197317, 91.8860435 22.4197937, 91.8862581 22.4187995, 91.8856412 22.4187251, 91.8855125 22.4190524, 91.8854374 22.4194169, 91.8854669 22.4195185))",,brickyard,0,0,north,2,5.0
way,653126476,"[6121255797, 6121255796, 6121255795, 6121255794, 6121255793, 6121255792, 6121255791, 6121255790, 6121255789, 6121255788, 6121255787, 6121255786, 6121255785, 6121251584, 6121255797]",industrial,,"POLYGON ((91.8821865 22.4291014, 91.8826452 22.4291708, 91.8835974 22.429265, 91.884284 22.4292848, 91.8851075 22.4293171, 91.8852496 22.4290964, 91.8853006 22.4288733, 91.8852094 22.4287171, 91.8846005 22.4285237, 91.8839005 22.4283501, 91.8829483 22.4280972, 91.8827417 22.4280477, 91.8823877 22.4287121, 91.8821731 22.4289377, 91.8821865 22.4291014))",,brickyard,0,0,north,2,5.0
way,653126478,"[6121255807, 6121255806, 6121255805, 6121255804, 6121255803, 6121255802, 6121255801, 6121255800, 6121255799, 6121255807]",industrial,,"POLYGON ((91.8808454 22.428851, 91.880765 22.4290146, 91.8807837 22.4292253, 91.8808937 22.4292923, 91.8812987 22.4292848, 91.8814516 22.4292253, 91.8814945 22.4290493, 91.881465 22.428965, 91.8808669 22.4288187, 91.8808454 22.428851))",,brickyard,0,0,north,2,5.0
way,653129607,"[6121270305, 6121270304, 6121270430, 6121270429, 6121270428, 6121270427, 6121270426, 6121270425, 6121270424, 6121270423, 6121270422, 6121270421, 6121270305]",industrial,,"POLYGON ((91.8891656 22.4215665, 91.8888813 22.4218418, 91.8888706 22.4221492, 91.8891147 22.4224815, 91.889281 22.4225955, 91.8894902 22.4227368, 91.8898603 22.4226575, 91.8901339 22.4223773, 91.8901205 22.4220426, 91.8899649 22.4216806, 91.8897799 22.4214996, 91.8894634 22.4214798, 91.8891656 22.4215665))",,brickyard,0,0,north,2,5.0
way,653865169,"[6127589604, 6127589603, 6127589602, 6127589601, 6127589600, 6127589599, 6127589598, 6127589597, 6127589596, 6127589595, 6127589604]",industrial,,"POLYGON ((91.8052176 22.4432648, 91.8057048 22.4433044, 91.8057702 22.4429897, 91.8058108 22.4425707, 91.8057229 22.442406, 91.8055357 22.442358, 91.8053417 22.4424393, 91.8052334 22.4426332, 91.8051928 22.4428854, 91.8051996 22.4431314, 91.8052176 22.4432648))",,brickyard,0,0,north,2,5.0
way,653865170,"[6127589621, 6127589620, 6127589619, 6127589618, 6127589617, 6127589616, 6127589615, 6127589614, 6127589613, 6127589612, 6127589611, 6127589610, 6127589609, 6127589608, 6127589607, 6127589606, 6127589605, 6127589621]",industrial,,"POLYGON ((91.8019429 22.4425633, 91.8021762 22.4425683, 91.8024418 22.4425708, 91.8026832 22.4425881, 91.8028146 22.4426625, 91.8028951 22.4427369, 91.8028951 22.4429079, 91.8028843 22.4432104, 91.8028843 22.4434508, 91.8030211 22.4436839, 91.8027395 22.4437533, 91.802482 22.443793, 91.8022165 22.4437434, 91.8020555 22.4436988, 91.8020663 22.4435302, 91.8019241 22.4431063, 91.8018678 22.4425584, 91.8019429 22.4425633))",,brickyard,0,0,north,2,5.0
way,653870605,"[6127626645, 6127626644, 6127626643, 6127626642, 6127626641, 6127626640, 6127626639, 6127626638, 6127626637, 6127626636, 6127626635, 6127626634, 6127626633, 6127626632, 6127626631, 6127626630, 6127626629, 6127626628, 6127626627, 6127626645]",industrial,,"POLYGON ((91.8072566 22.4382992, 91.8075227 22.4383138, 91.8075881 22.4386077, 91.8081187 22.4386538, 91.8082903 22.4386761, 91.8084258 22.4386253, 91.8085612 22.4384679, 91.8088724 22.4384567, 91.8089703 22.4377192, 91.8088657 22.4376969, 91.8088603 22.4374365, 91.8087919 22.4374006, 91.8085934 22.4374031, 91.8080986 22.437382, 91.8077798 22.4374757, 91.807216 22.4374403, 91.8070897 22.4376029, 91.8070626 22.4379781, 91.8071765 22.4380177, 91.8072566 22.4382992))",,brickyard,0,0,north,2,5.0
way,654706715,"[6134900869, 6134900868, 6134900867, 6134900866, 6134900869]",industrial,,"POLYGON ((91.8727452 22.3884075, 91.8731984 22.3884125, 91.8732101 22.3875058, 91.8727568 22.3875009, 91.8727452 22.3884075))",,,0,0,north,2,5.0
way,654708540,"[6134915905, 6134915904, 6134915903, 6134915902, 6134915905]",industrial,Berger Paints Bangladesh Limited,"POLYGON ((91.8687344 22.3885637, 91.869709 22.3885887, 91.8698811 22.3875581, 91.86876 22.3875532, 91.8687344 22.3885637))",,,0,0,north,2,5.0
way,654709492,"[6134933707, 6134933706, 6134933705, 6134933704, 6134933703, 6134933702, 6134933701, 6134933700, 6134933707]",industrial,Gazi Ware ltd,"POLYGON ((91.8678654 22.3878407, 91.8678673 22.3875303, 91.8687208 22.3875321, 91.8687393 22.3875365, 91.8687361 22.3877968, 91.8687106 22.3883748, 91.8682433 22.3883675, 91.8682375 22.387859, 91.8678654 22.3878407))",,,0,0,north,2,5.0
way,757725735,"[7076417510, 7076417515, 7076417514, 7076417513, 7076417512, 7076417511, 7076417510]",industrial,,"POLYGON ((91.8705861 22.3848114, 91.8732709 22.3824603, 91.8743223 22.3836309, 91.8715784 22.3860143, 91.8713906 22.3856497, 91.8711492 22.3854066, 91.8705861 22.3848114))",,,0,0,north,2,5.0
way,757725745,"[6120609852, 7076417573, 7076417572, 7076417571, 2572879443, 2572879442, 6120609852]",industrial,,"POLYGON ((91.7673826 22.379432, 91.7664586 22.3800892, 91.7669749 22.3804575, 91.769629 22.3823474, 91.7702936 22.3815324, 91.7678601 22.3797988, 91.7673826 22.379432))",,,0,0,north,2,5.0
way,790386600,"[6120388435, 7389280462, 7389280463, 7389280464, 7389280465, 6120388435]",industrial,Furtilizer Factory,"POLYGON ((91.8866256 22.399168, 91.8867674 22.4007413, 91.8851196 22.4009234, 91.8849227 22.3993636, 91.8856645 22.3992725, 91.8866256 22.399168))",,factory,0,0,north,2,5.0
way,1072967594,"[9843563858, 9843563859, 9843563860, 9843563861, 9843563862, 9843563878, 9843563857, 9843563858]",industrial,,"POLYGON ((91.8719414 22.3810691, 91.8709116 22.3800004, 91.8692373 22.3814229, 91.8689035 22.3810713, 91.8678387 22.3820558, 91.8690103 22.3833858, 91.8691199 22.3835103, 91.8719414 22.3810691))",,,0,0,north,2,5.0
way,1072967595,"[9843563863, 9843563864, 9843563865, 9843563866, 9843563867, 9843563868, 9843563869, 9843563870, 9843563871, 9843563872, 9843563873, 9843563874, 9843563875, 9843563876, 9843563877, 9843563863]",industrial,,"POLYGON ((91.8778327 22.393669, 91.8783799 22.3935995, 91.8781975 22.3925679, 91.8804506 22.3922604, 91.8800643 22.3895621, 91.8796137 22.3896514, 91.8795693 22.3894227, 91.8790578 22.3895309, 91.8791133 22.3900893, 91.8789469 22.3901007, 91.8789161 22.3898671, 91.8784047 22.3899469, 91.8784108 22.3901862, 91.8771036 22.3903647, 91.8775253 22.3923758, 91.8778327 22.393669))",,,0,0,north,2,5.0
