element_type,osmid,nodes,industrial,landuse,geometry,name,name:en,operator,short_name,short_name:en,wikidata,wikipedia,ward5wknn,index,points,rank,value
way,652742721,"[6118625329, 6118625328, 6118625327, 6118625326, 6118625325, 6120382698, 6118625324, 6118625323, 6118625322, 6118625321, 6118625320, 6118625319, 6118625318, 6118625329]",brickyard,industrial,"POLYGON ((91.7570347 22.3709966, 91.7567021 22.3703914, 91.7567342 22.3699052, 91.7567557 22.3695183, 91.7573726 22.3693496, 91.7576247 22.3695778, 91.7579144 22.3696572, 91.7581075 22.3697068, 91.7585742 22.3698259, 91.7586493 22.3701334, 91.7585689 22.3705749, 91.7582202 22.3708428, 91.7575443 22.3709867, 91.7570347 22.3709966))",,,,,,,,4,7,south west,4,1.9500000000000002
way,652995376,"[6120382697, 6120382696, 6120382576, 6120382695, 6120382694, 6120382693, 6120382692, 6120382691, 6120382690, 6120382689, 6120382688, 6120382687, 6120382686, 6120382685, 6120382584, 6120382583, 6120382582, 6120382581, 6120382580, 6120382579, 6120382578, 6120382697]",brickyard,industrial,"POLYGON ((91.7593414 22.3650635, 91.7585689 22.3646468, 91.7579305 22.3646517, 91.7577535 22.364751, 91.7574477 22.3667551, 91.7573243 22.3671024, 91.7573565 22.3675092, 91.7574316 22.3680202, 91.7575067 22.3684319, 91.7576945 22.3688635, 91.7580378 22.3689081, 91.7584187 22.3689032, 91.7586333 22.3687692, 91.7587084 22.3685361, 91.7587405 22.3681938, 91.7588371 22.3678465, 91.7589068 22.3674844, 91.7588693 22.3671719, 91.7589176 22.366894, 91.7589337 22.3667105, 91.7589283 22.3666262, 91.7593414 22.3650635))",,,,,,,,4,7,south west,4,1.9500000000000002
way,1042087037,"[9593199756, 9593199755, 9593199754, 9593199753, 9593199752, 9593199751, 9593199750, 9593199749, 9593199748, 9593199747, 9593199746, 9593199745, 9593199744, 9593199743, 9593199742, 9593199741, 9593199740, 9593199739, 9593199738, 9593199737, 9593199736, 1211474036, 9593199735, 9593199734, 9593199733, 9593199732, 9593199731, 9593199730, 9593199729, 9593199728, 9593199727, 9593199726, 9593199756]",,industrial,"POLYGON ((91.7731574 22.2782927, 91.7773926 22.278732, 91.7771539 22.2820008, 91.7773363 22.2821149, 91.7770332 22.2838721, 91.7768428 22.2840359, 91.7767811 22.2855871, 91.7812255 22.2860661, 91.7801821 22.2884164, 91.7799193 22.2891088, 91.7797852 22.2897442, 91.7794418 22.293164, 91.7789885 22.2973358, 91.7788035 22.2986709, 91.7786801 22.2986585, 91.7786184 22.2990208, 91.7786533 22.2991399, 91.7780498 22.3010383, 91.7769501 22.3008497, 91.7765585 22.3007678, 91.7763975 22.3012766, 91.7722044 22.3013525, 91.7714649 22.3013659, 91.7719853 22.2998422, 91.7723259 22.2990034, 91.7724386 22.2985418, 91.7726853 22.2963059, 91.771819 22.2935884, 91.771709 22.2930995, 91.7716366 22.2926007, 91.7715803 22.287317, 91.7723206 22.2806878, 91.7731574 22.2782927))",চট্টগ্রাম রপ্তানি প্রক্রিয়াকরণ অঞ্চল,Chattogram Export Processing Zone,BEPZA,চট্টগ্রাম ইপিজেড,Chattogram EPZ,Q5102389,bn:চট্টগ্রাম রপ্তানি প্রক্রিয়াকরণ অঞ্চল,4,7,south west,4,1.9500000000000002
