element_type,osmid,nodes,landuse,name,geometry,ward5wknn,index,points,rank,value
way,250826071,"[2571881777, 2571881779, 2571881782, 2571881784, 2571881788, 2571881791, 2571881794, 2571881777]",industrial,Saleh Steel Industry Limited,"POLYGON ((91.812388 22.3746251, 91.8129787 22.3749233, 91.8131971 22.3745467, 91.8133422 22.3743129, 91.8135376 22.3739981, 91.8138696 22.3734632, 91.8132884 22.373159, 91.812388 22.3746251))",5,9,south west,5,1.6800000000000002
way,250826772,"[2571887267, 2571887268, 2571887269, 2571887270, 2571887267]",industrial,Baizid Steel Industries Ltd,"POLYGON ((91.8144218 22.3742266, 91.8157006 22.3748586, 91.814988 22.3759667, 91.8137601 22.3753617, 91.8144218 22.3742266))",5,9,south west,5,1.6800000000000002
