element_type,osmid,source,geometry,barrier,nodes,landuse,name,industrial,name:en,operator,building,boundary,short_name,short_name:en,wikidata,wikipedia,website,alt_name,plant:method,plant:output:electricity,plant:source,power,man_made,product,cargo,ways,type,ward5wknn,index,points,rank,value
way,757725742,,"POLYGON ((91.8097025 22.281631, 91.8093887 22.2817327, 91.8092063 22.2818717, 91.8087396 22.2819511, 91.807325 22.2773845, 91.8082119 22.2769627, 91.8097025 22.281631))",,"[7076417550, 7076417547, 7076417546, 7076417545, 7076417544, 241910439, 7076417550]",industrial,,,,,,,,,,,,,,,,,,,,,,1,1,north,1,16.32
way,757725743,,"POLYGON ((91.8097025 22.281631, 91.8103301 22.2815317, 91.8111509 22.2814672, 91.8096972 22.2764263, 91.8092325 22.2765792, 91.8091968 22.2765921, 91.8082119 22.2769627, 91.8097025 22.281631))",,"[7076417550, 7076417549, 7076417548, 241910440, 3608865628, 3608865629, 241910439, 7076417550]",industrial,,,,,,,,,,,,,,,,,,,,,,1,1,north,1,16.32
way,757725744,,"POLYGON ((91.7883226 22.2694665, 91.7916231 22.2699939, 91.7916767 22.2696613, 91.7927402 22.2698388, 91.7930192 22.2699282, 91.7930165 22.2699728, 91.7935449 22.2702955, 91.7931989 22.2724574, 91.7955025 22.2745508, 91.7972141 22.2761061, 91.7949825 22.2780222, 91.7938775 22.2802287, 91.793848 22.2802783, 91.786893 22.278809, 91.7871129 22.2779626, 91.7871022 22.277501, 91.7874026 22.2763344, 91.7884219 22.2724723, 91.7875153 22.2722638, 91.7880598 22.2708416, 91.7881831 22.2701143, 91.7883226 22.2694665))",,"[7076417570, 7076417569, 7076417568, 7076417567, 7076417566, 7076417565, 7076417564, 7076417563, 9796336787, 7076417562, 7076417561, 7076417560, 7076417559, 7076417558, 7076417557, 7076417556, 7076417555, 7076417554, 7076417553, 7076417552, 7076417551, 7076417570]",industrial,কর্ণফুলী রপ্তানি প্রক্রিয়াকরণ অঞ্চল,,Karnaphuli Export Processing Zone,,,special_economic_zone,কর্ণফুলী ইপিজেড,Karnaphuli EPZ,Q6372827,bn:কর্ণফুলী রপ্তানি প্রক্রিয়াকরণ অঞ্চল,,,,,,,,,,,,1,1,north,1,16.32
way,833947882,,"POLYGON ((91.8257582 22.228443, 91.8281096 22.2298439, 91.8274499 22.2310537, 91.8250448 22.2343891, 91.8225449 22.2328674, 91.8257582 22.228443))",,"[7784928886, 8952421106, 7784928884, 7784928883, 7784928885, 7784928886]",industrial,Karnaphuli Fertilizer Company Limited(KAFCO),chemical,,,,,,,Q97353901,en:Karnaphuli Fertilizer Company Limited,http://www.kafcobd.com,,,,,,,,,,,1,1,north,1,16.32
way,955410784,,"POLYGON ((91.8207908 22.2293219, 91.8206298 22.2280408, 91.8196642 22.22815, 91.8195248 22.2273158, 91.8188596 22.2272661, 91.8186235 22.2247832, 91.8255758 22.2243561, 91.8256938 22.2252599, 91.8274748 22.2252798, 91.8275392 22.2255082, 91.8245566 22.2292822, 91.8232798 22.2297192, 91.8225503 22.2284778, 91.8207908 22.2293219))",,"[8842678650, 8842678649, 8842678648, 8842678647, 8842678646, 8842678645, 8842678644, 8842678643, 8842678642, 8842678641, 8842678640, 8842678639, 8842678638, 8842678650]",construction,,,,,,,,,,,,,,,,,,,,,,1,1,north,1,16.32
way,955410796,,"POLYGON ((91.7987001 22.2330412, 91.8001378 22.2321077, 91.8018436 22.231194, 91.8023908 22.2309109, 91.80282 22.2307818, 91.8040538 22.230613, 91.8041182 22.2315366, 91.8044829 22.2320481, 91.8038017 22.232197, 91.8039894 22.2334484, 91.803689 22.2335328, 91.8037373 22.2341287, 91.8033403 22.234223, 91.8034422 22.2348636, 91.8015969 22.2351218, 91.8011838 22.235231, 91.8012106 22.2356431, 91.8001431 22.2348089, 91.7992794 22.2342776, 91.7988396 22.2338456, 91.7987001 22.2330412))",,"[8842687448, 8842687447, 8842687446, 8842687445, 8842687444, 8842687443, 8842687442, 8842687441, 8842687440, 8842687439, 8842687438, 8842687437, 8842687436, 8842687435, 8842687434, 8842687433, 8842687432, 8842687431, 8842687430, 8842687429, 8842687448]",construction,,,,,,,,,,,,,,,,,,,,,,1,1,north,1,16.32
way,967677417,https://united.com.bd/companies/energy/united-anwara-power-ltd;https://www.tbsnews.net/economy/stock/united-power-acquire-2-power-plants-united-group-133942,"POLYGON ((91.825106 22.2344266, 91.8283253 22.2300026, 91.8290513 22.230472, 91.8287262 22.231173, 91.825915 22.2349442, 91.825106 22.2344266))",,"[8952421107, 8952421108, 8952421109, 8952421110, 8952421111, 8952421107]",industrial,UPGD (UANPL) Anwara Power Plant,,,,,,,,Q111265838,,,United Anwara power plant,combustion,300 MW,oil,plant,,,,,,1,1,north,1,16.32
way,1042087037,,"POLYGON ((91.7731574 22.2782927, 91.7773926 22.278732, 91.7771539 22.2820008, 91.7773363 22.2821149, 91.7770332 22.2838721, 91.7768428 22.2840359, 91.7767811 22.2855871, 91.7812255 22.2860661, 91.7801821 22.2884164, 91.7799193 22.2891088, 91.7797852 22.2897442, 91.7794418 22.293164, 91.7789885 22.2973358, 91.7788035 22.2986709, 91.7786801 22.2986585, 91.7786184 22.2990208, 91.7786533 22.2991399, 91.7780498 22.3010383, 91.7769501 22.3008497, 91.7765585 22.3007678, 91.7763975 22.3012766, 91.7722044 22.3013525, 91.7714649 22.3013659, 91.7719853 22.2998422, 91.7723259 22.2990034, 91.7724386 22.2985418, 91.7726853 22.2963059, 91.771819 22.2935884, 91.771709 22.2930995, 91.7716366 22.2926007, 91.7715803 22.287317, 91.7723206 22.2806878, 91.7731574 22.2782927))",,"[9593199756, 9593199755, 9593199754, 9593199753, 9593199752, 9593199751, 9593199750, 9593199749, 9593199748, 9593199747, 9593199746, 9593199745, 9593199744, 9593199743, 9593199742, 9593199741, 9593199740, 9593199739, 9593199738, 9593199737, 9593199736, 1211474036, 9593199735, 9593199734, 9593199733, 9593199732, 9593199731, 9593199730, 9593199729, 9593199728, 9593199727, 9593199726, 9593199756]",industrial,চট্টগ্রাম রপ্তানি প্রক্রিয়াকরণ অঞ্চল,,Chattogram Export Processing Zone,BEPZA,,,চট্টগ্রাম ইপিজেড,Chattogram EPZ,Q5102389,bn:চট্টগ্রাম রপ্তানি প্রক্রিয়াকরণ অঞ্চল,,,,,,,,,,,,1,1,north,1,16.32
way,1077129835,Esri World Imagery,"POLYGON ((91.8091178 22.3064406, 91.8092152 22.3060287, 91.8094359 22.3056505, 91.809696 22.3054151, 91.8100855 22.3051251, 91.8101555 22.3050408, 91.8103255 22.3054444, 91.810461 22.3056156, 91.8106138 22.3056853, 91.8109311 22.3057968, 91.8112979 22.305942, 91.8117713 22.3061331, 91.8121564 22.3062068, 91.8124813 22.3062135, 91.8124434 22.3069021, 91.812441 22.3069444, 91.8124142 22.3078427, 91.8122632 22.3081249, 91.8119092 22.307903, 91.8117723 22.3077763, 91.811461 22.3078233, 91.8110865 22.3076243, 91.8091178 22.3064406))",,"[1222776211, 3606027039, 9876535434, 3606027029, 3606027028, 3606027027, 3606027030, 3606027033, 3606027035, 9876535433, 3606027038, 3606027043, 3606027044, 9876535432, 9876535428, 9876535431, 9876535430, 9876535429, 9877525069, 9877525070, 9877525071, 1222776067, 1222776211]",industrial,,,,,,,,,,,,,,,,,,,,,,1,1,north,1,16.32
way,1077260563,Esri World Imagery,"POLYGON ((91.8139294 22.3092525, 91.814155 22.3088104, 91.8144044 22.3072025, 91.8145831 22.3072292, 91.814754 22.3072067, 91.8150458 22.3071771, 91.8154448 22.3074814, 91.8157118 22.3074829, 91.815822 22.3073748, 91.8161125 22.3073717, 91.816054 22.3080883, 91.8160023 22.3086088, 91.8159122 22.3092944, 91.8155165 22.3093562, 91.8151677 22.3093948, 91.814898 22.3099115, 91.8148048 22.3098434, 91.8139294 22.3092525))",,"[9877517105, 9877525060, 9877525063, 9877525083, 9877525082, 9877525081, 9877525080, 9877525079, 9877525078, 9877525077, 9877525076, 9877525075, 9877525074, 9877525073, 9877525072, 9876535426, 1222776062, 9877517105]",industrial,National Cement Mills Ltd.,,,,,,,,,,,,,,,,works,cement,,,,1,1,north,1,16.32
way,1077260564,Esri World Imagery,"POLYGON ((91.8137773 22.3091531, 91.8137633 22.3091445, 91.8136883 22.3090848, 91.8136371 22.3090501, 91.8132619 22.3088313, 91.8132399 22.3088162, 91.8130255 22.3086677, 91.8129888 22.3086439, 91.8125101 22.3083864, 91.8124773 22.3083687, 91.8124714 22.308259, 91.8122632 22.3081249, 91.8124142 22.3078427, 91.812441 22.3069444, 91.8124434 22.3069021, 91.8124813 22.3062135, 91.8127352 22.3062187, 91.8129367 22.3062335, 91.8133974 22.3062751, 91.8135858 22.3063083, 91.8136436 22.3063079, 91.8137997 22.3063069, 91.8138873 22.3065563, 91.8141026 22.3067493, 91.814325 22.3071032, 91.8144044 22.3072025, 91.814155 22.3088104, 91.8139294 22.3092525, 91.8137773 22.3091531))",,"[3625681619, 3625681618, 3625681615, 3625681612, 3625681602, 3625681601, 3625681596, 3625681594, 8428642507, 8428642508, 1222776029, 9876535429, 9876535430, 9876535431, 9876535428, 9876535432, 3606027045, 3606088604, 3606088608, 3606088611, 9877525087, 3606088610, 9877525086, 9877525085, 9877525084, 9877525063, 9877525060, 9877517105, 3625681619]",industrial,Diamanond Cement Industries Ltd,,,,,,,,,,,,,,,,works,cement,,,,1,1,north,1,16.32
way,1077266571,Esri World Imagery,"POLYGON ((91.8140369 22.3181598, 91.813876 22.3182297, 91.8135917 22.3185523, 91.8136226 22.3186304, 91.8137097 22.3187346, 91.813522 22.318958, 91.8133034 22.3190001, 91.8131357 22.3189567, 91.8127455 22.319417, 91.8124773 22.3194046, 91.8123874 22.3193928, 91.812266 22.3193115, 91.8120146 22.319118, 91.811908 22.3190361, 91.8118355 22.3190101, 91.8116793 22.3189052, 91.8113273 22.3186565, 91.8109658 22.3183953, 91.8107204 22.3182216, 91.810652 22.318159, 91.8105655 22.3180436, 91.8104395 22.3178352, 91.810241 22.3174983, 91.8101203 22.3173445, 91.8100512 22.3172632, 91.8099318 22.3171522, 91.8095355 22.3168476, 91.8092928 22.316615, 91.808806 22.3163445, 91.8085559 22.3162118, 91.8083433 22.3161008, 91.8082011 22.3160114, 91.8077834 22.315741, 91.8073723 22.3154711, 91.8069077 22.3151547, 91.8063276 22.3147757, 91.80604 22.3146182, 91.8059923 22.3146064, 91.8060024 22.3145828, 91.8057865 22.3145102, 91.8055518 22.314419, 91.8053211 22.3143384, 91.8050998 22.3142335, 91.8045889 22.3140152, 91.8036474 22.3136182, 91.80306 22.3133762, 91.802246 22.3130425, 91.8018691 22.3128551, 91.8017149 22.312746, 91.8015392 22.3125785, 91.8013997 22.3124197, 91.8013099 22.3123142, 91.8012301 22.3121963, 91.8011295 22.3120444, 91.8010443 22.3118955, 91.8010048 22.3118316, 91.8007111 22.3113068, 91.8005528 22.3110568, 91.8004248 22.3108576, 91.8001686 22.3110822, 91.7998575 22.3113713, 91.7997649 22.3113899, 91.7996817 22.311504, 91.7994873 22.3116802, 91.79926 22.3116591, 91.7990857 22.3115853, 91.7988624 22.3113378, 91.7988349 22.3112863, 91.7984714 22.3108111, 91.7979062 22.3101386, 91.7976037 22.3097875, 91.7975333 22.3098418, 91.7973904 22.3096914, 91.7972386 22.3095427, 91.7973114 22.3094792, 91.7969305 22.3091045, 91.7968417 22.3091817, 91.7966036 22.3089523, 91.7967059 22.3088626, 91.7962303 22.3084005, 91.7958905 22.3080703, 91.7948853 22.3070709, 91.7945024 22.3065883, 91.793911 22.3058345, 91.7940351 22.3053959, 91.7939056 22.3051199, 91.7942502 22.3049091, 91.7940574 22.3046212, 91.7933437 22.304979, 91.7930554 22.3044132, 91.7936857 22.3040571, 91.7945782 22.3036142, 91.7954526 22.3031322, 91.7955089 22.3030769, 91.7957617 22.3029218, 91.7958249 22.3029434, 91.7965818 22.3025056, 91.796726 22.3024417, 91.7967866 22.3024292, 91.7970713 22.3029989, 91.7970846 22.3030254, 91.7972229 22.3033022, 91.7972839 22.3034529, 91.7975052 22.3033152, 91.7978318 22.3038481, 91.7986043 22.3048606, 91.7995269 22.3060914, 91.8009646 22.3075406, 91.8015869 22.3082354, 91.8028367 22.3091784, 91.8051703 22.310836, 91.8077901 22.3127063, 91.8083654 22.3130847, 91.8089032 22.3134854, 91.8093331 22.3137938, 91.8098286 22.3141206, 91.8101853 22.3143663, 91.8104884 22.3145772, 91.8108934 22.3148551, 91.8114473 22.3152856, 91.8123874 22.3159221, 91.8129944 22.3163943, 91.8129346 22.3164419, 91.8128622 22.3165276, 91.8129078 22.3165785, 91.8129603 22.3166372, 91.8133154 22.3170337, 91.8134334 22.3172732, 91.8135099 22.3174444, 91.8136676 22.3176548, 91.8138272 22.3179227, 91.8140369 22.3181598))",,"[3648496500, 9877579278, 9877579277, 9877579276, 9877579275, 9877579274, 9877579273, 9877579272, 9877579271, 9877579270, 9876682814, 9876682813, 9876682812, 9876682811, 9876682810, 9876682809, 9876682808, 9876682807, 9876682806, 9876682805, 9876682804, 9876682803, 9876682802, 9876682801, 9876682800, 9876682799, 9876682798, 9876682797, 9876682796, 9876682795, 9876682794, 9876682793, 9876682792, 9876682791, 9876682790, 9876682789, 9876682788, 9876682787, 9876682786, 9876682785, 9876682784, 9876707063, 9877579269, 9877579268, 9877579267, 9877579266, 9877579265, 9877579264, 9877579263, 9877579262, 9877579261, 9877579260, 9876707055, 9876707054, 9876707053, 9876707052, 9876707051, 9876707050, 9877579259, 9877579258, 9877579257, 9877579256, 9877579255, 9876518582, 9876518583, 9876518584, 9876518585, 9876518586, 9876518587, 9876518588, 9876518589, 9877579254, 9877579253, 9877579252, 9876518594, 9876518595, 9877579251, 9877579250, 9876518598, 9877579249, 9876518599, 9876518600, 9876518601, 9876518602, 9876518603, 9876518604, 9877579248, 9877579247, 9877579246, 9877579245, 9877579244, 9876518611, 9876518612, 9876518615, 9877579243, 9877579242, 9876707169, 9877579241, 9877579240, 9877579239, 9877579238, 1222776032, 9859226310, 9859228057, 1222776040, 1222776055, 1222776079, 1222776179, 1222776186, 1222776150, 1222776098, 5038468900, 5038468901, 5038468902, 1222776091, 5038468903, 5038459854, 5038459855, 5038459856, 1222776058, 5038459859, 1222776140, 1222776139, 1222776130, 9877579237, 9877579236, 1222776115, 1222776064, 9859229428, 1222776080, 1222776076, 3648496500]",industrial,চট্টগ্রাম বন্দর,port,Chittagong port,,,,,,Q3348944,bn:চট্টগ্রাম বন্দর,,,,,,,,,container;bulk;general,,,1,1,north,1,16.32
relation,7486739,,"POLYGON ((91.7922565 22.2576914, 91.7904219 22.2572272, 91.787601 22.2564042, 91.7875814 22.2564779, 91.7874411 22.2564369, 91.7872998 22.256969, 91.7878872 22.2571255, 91.78786 22.2572611, 91.7880665 22.2573158, 91.7879217 22.257785, 91.7869748 22.2575442, 91.7869185 22.2577899, 91.7872967 22.2578843, 91.7872596 22.2581036, 91.7889144 22.2584981, 91.7890106 22.2581995, 91.7891908 22.2582425, 91.7893812 22.2575698, 91.7920956 22.258307, 91.7922565 22.2576914), (91.7891264 22.2570545, 91.7891905 22.2570699, 91.7891432 22.2572386, 91.7890791 22.2572232, 91.7891264 22.2570545))",,"[[[1209355529, 1209355633, 1209355988, 4589571928, 1209355821, 1209355755, 4589571927, 4589571925, 4589571924, 4589571926, 4589581727, 4589581726, 1209355830, 1209355574, 1209355915, 5044079561, 5044079562, 1209355752, 1209355522, 1209355529], [5044107086, 5044107085, 5044107084, 5044107083, 5044107086], [5044107030, 5044107026, 5044107025, 5044107029, 5044107028, 5044107027, 5044107030], [5044107078, 5044107077, 5044107076, 5044107075, 5044107078], [5044107082, 5044107081, 5044107080, 5044107079, 5044107082], [5044107074, 5044107071, 5044107072, 5044107073, 5044107074], [5044107070, 5044107069, 5044107068, 5044107067, 5044107070], [5044107346, 5044107345, 5044107344, 5044107343, 5044107346], [5044107066, 5044107065, 5044107064, 5044107063, 5044107066], [5044107062, 5044107061, 5044107060, 5044107059, 5044107062], [5044107342, 5044107341, 5044107340, 5044107339, 5044107342], [5044107338, 5044107337, 5044107336, 5044107333, 5044107334, 5044107335, 5044107338], [5044107354, 5044107353, 5044107352, 5044107351, 5044107354], [5044107358, 5044107357, 5044107356, 5044107355, 5044107358], [5044107090, 5044107089, 5044107088, 5044107087, 5044107090]]]",industrial,,,,,,,,,,,,,,,,,,,,"[104867043, 516757986, 516757972, 516757984, 516757985, 516757983, 516757982, 516758049, 516757981, 516757980, 516758048, 516758047, 516758051, 516758052, 516757987]",multipolygon,1,1,north,1,16.32
