,MODEL_2013,SCENARIO,REGION,VARIABLE,UNIT_2013,1950,1955,1960,1965,1970,1975,1980_2013,1985_2013,1990_2013,1995_2013,2000_2013,2005_2013,2010_2013,2015_2013,2020_2013,2025_2013,2030_2013,2035_2013,2040_2013,2045_2013,2050_2013,2055_2013,2060_2013,2065_2013,2070_2013,2075_2013,2080_2013,2085_2013,2090_2013,2095_2013,2100_2013,2105,2110,2115,2120,2125,2130,2135,2140,2145,2150,iso3,MODEL_2023,UNIT_2023,1980_2023,1985_2023,1990_2023,1995_2023,2000_2023,2005_2023,2010_2023,2015_2023,2020_2023,2025_2023,2030_2023,2035_2023,2040_2023,2045_2023,2050_2023,2055_2023,2060_2023,2065_2023,2070_2023,2075_2023,2080_2023,2085_2023,2090_2023,2095_2023,2100_2023,_merge,2025_2023_2025_2013,updated_2025,2050_2023_2050_2013,updated_2050,2075_2023_2075_2013,updated_2075,2100_2023_2100_2013,updated_2100
0,IIASA-WiC POP,SSP3,Bangladesh,Population,million,,,,,,,,,,,,,148.69213100000007,158.26648478120362,168.98883083347084,179.91863745904212,190.25113164583377,199.41568180184208,207.6000125201913,215.0353458785858,221.6086661292848,227.15820210718596,231.58469982782495,235.24301054544523,238.6046082023852,241.80489152026172,245.084655858644,248.5876500010965,252.43720488730656,256.7311476409004,261.49619870407145,,,,,,,,,,,Bgd,IIASA-WiC POP 2023,million,,,,,,,,,166.426991,176.575813,186.09645,194.335547,201.377627,207.031763,211.617017,215.347594,218.12858,219.850083,220.624331,220.7141,220.394106,219.787219,218.99414,218.202296,217.802343,both,0.9814203547433873,176.575813,0.9549130938613395,211.617017,0.9127776473517102,220.7141,0.832908256714207,217.802343
1,IIASA-WiC POP,SSP5,Bangladesh,Population,million,,,,,,,,,,,,,148.69213100000007,155.91922288523546,162.57506253826,167.5830620240539,170.95650210683422,173.0296166907781,173.7444164231884,173.09645231054367,171.09832715230976,167.98061589830016,163.88035311466808,159.1707043859805,153.9353464230939,148.2530916320738,142.19841180354842,135.8708788937781,129.3501669470244,122.74726548385418,116.17557666508353,,,,,,,,,,,Bgd,IIASA-WiC POP 2023,million,,,,,,,,,166.426991,173.93015,179.578395,183.159934,184.888381,185.294007,184.437513,182.414112,179.230991,175.278818,170.652729,165.42122,159.702089,153.619531,147.273393,140.739932,134.132707,both,1.0378742809642365,173.93015,1.0779621055898216,184.437513,1.1158028354007827,165.42122,1.1545688934833882,134.132707
2,IIASA-WiC POP,SSP1,Bangladesh,Population,million,,,,,,,,,,,,,148.69213100000007,156.3002785044183,163.54295540042028,169.47548056469972,173.81397652954902,176.8527128819426,178.51944309291233,178.79659838788953,177.67535203007176,175.3693635902971,172.00450911508295,167.8655039906883,163.03611695285824,157.59660981648176,151.62741882486756,145.24132433903418,138.53388008995057,131.63417577036512,124.67222723128536,,,,,,,,,,,Bgd,IIASA-WiC POP 2023,million,,,,,,,,,166.426991,174.89434,181.603234,186.293089,189.136811,190.64831,190.874384,189.895986,187.700819,184.555269,180.550085,175.75322,170.282878,164.263045,157.793158,150.952818,143.871223,both,1.031974297504538,174.89434,1.0742873551064882,190.874384,1.1152093957139133,175.75322,1.1539957711118585,143.871223
3,IIASA-WiC POP,SSP2,Bangladesh,Population,million,,,,,,,,,,,,,148.69213100000007,157.3461725573872,166.22560345405628,174.28854805009408,181.1458191257872,186.736147546188,191.0923233704275,194.10549943045183,195.7766050265492,196.1050590679343,195.1493812882566,193.23941934826544,190.649186048142,187.48461541618693,183.8582691366028,179.89609720100594,175.7541309102098,171.58869030679202,167.48963520941714,,,,,,,,,,,Bgd,IIASA-WiC POP 2023,million,,,,,,,,,166.426991,175.528001,183.373437,189.547844,194.161517,197.348858,199.283419,200.108812,199.771685,198.396591,196.092233,193.032804,189.393574,185.262633,180.753927,176.005054,171.297294,both,1.007111499658312,175.52800100000002,1.0179123239621775,199.283419,1.0295927672331777,193.032804,1.0227336980334456,171.297294
4,IIASA-WiC POP,SSP4,Bangladesh,Population,million,,,,,,,,,,,,,148.69213100000007,156.3933112655505,163.8852046152527,169.98627200346877,174.35974231438476,177.32864377648428,178.79860233581005,178.69100349126933,177.0541624856982,174.0435059957267,169.80722368561948,164.64246351670096,158.65502466181462,152.02268473554628,144.94310592589133,137.61240081081107,130.21482082965233,122.91767180191358,115.84697354139077,,,,,,,,,,,Bgd,IIASA-WiC POP 2023,million,,,,,,,,,166.426991,176.097741,185.07466,192.711073,199.105038,204.076976,207.947672,210.93815,212.966151,214.001794,214.167609,213.712594,212.913822,211.911817,210.820792,209.832693,209.321649,both,1.035952720913878,176.097741,1.17448620851711,207.947672,1.4057941048190767,213.712594,1.806880599476445,209.321649
